price,bedrooms,baths,area
875000,2.0,2.0,1343
750000,3.0,2.5,1454
1699000,4.0,2.0,2085
460000,2.0,2.0,1193
857000,3.0,2.0,1635
880000,4.0,2.0,1885
1850000,2.0,2.5,1900
719950,3.0,2.0,1112
1330000,3.0,3.5,2211
674900,4.0,2.0,1400
1330000,3.0,3.5,2211
2300000,4.0,3.5,3000
850000,4.0,2.0,1500
1085000,3.0,2.0,1030
1355000,3.0,3.5,2243
1358000,3.0,3.5,2243
999999,4.0,2.0,1982
2199000,4.0,4.0,2159
1850000,4.0,2.5,2303
150000,2.0,2.0,750
655000,6.0,3.0,1762
775000,3.0,2.0,1324
849000,3.0,2.0,1320
649000,2.0,3.0,1409
3000000,12.0,8.0,8486
1999000,8.0,4.0,3134
650000,4.0,2.0,1786
900000,9.0,3.0,2288
550000,2.0,3.0,1555
1050000,4.0,3.0,1338
850000,5.0,2.0,1967
1249000,5.0,4.0,2576
1600000,5.0,5.0,2366
699995,4.0,2.0,1760
599900,3.0,2.0,880
700000,7.0,2.5,1920
825000,3.0,1.5,1448
1495000,3.0,3.0,2240
699000,3.0,2.0,1156
995000,2.0,2.0,1422
849000,2.0,2.0,1030
789000,3.0,2.0,1722
390000,2.0,2.0,900
1499000,3.0,2.5,1782
1426000,2.0,2.0,2269
850000,6.0,3.0,1834
1295000,4.0,3.5,1920
2695000,3.0,3.0,2782
1000000,3.0,2.0,1655
885990,3.0,2.5,1836
1895000,4.0,3.5,1950
929000,3.0,2.0,1400
982360,4.0,3.5,1873
4388888,2.0,3.0,2500
1099000,3.0,3.0,1620
5500000,3.0,5.0,3230
1749000,3.0,2.0,2268
975000,2.0,3.0,1620
799000,2.0,2.0,1204
714900,2.0,2.0,1349
739000,3.0,2.0,1063
1199999,4.0,3.0,2967
1199000,3.0,3.0,2016
2000000,4.0,2.0,1925
630000,3.0,2.0,1360
3950000,19.0,17.0,7700
1550000,19.0,10.0,2802
875000,2.0,2.0,1805
615000,2.0,2.0,1129
825000,2.0,2.0,1095
1250000,4.0,4.0,3390
780000,3.0,2.0,1221
850000,3.0,2.0,1488
2300000,2.0,3.0,1554
1175000,2.0,2.0,1048
799000,5.0,2.0,1378
1375000,3.0,2.5,1867
2190000,3.0,3.5,1755
2399000,4.0,2.0,2083
749000,4.0,3.0,1387
798000,5.0,2.0,1988
705000,4.0,2.0,1371
2650000,4.0,3.5,3218
2525000,3.0,2.5,2916
5449000,6.0,6.5,5009
4500000,10.0,9.0,8784
750000,3.0,2.0,1372
1175000,3.0,3.0,1677
615000,4.0,2.0,1390
675000,2.0,2.0,1464
875000,3.0,2.0,1216
934900,4.0,2.0,1667
1299900,4.0,3.0,2138
999000,4.0,2.0,1875
1000000,5.0,3.0,2531
1100000,9.0,8.0,4711
769000,3.0,2.0,1440
1675000,2.0,2.5,1739
5300000,14.0,17.0,8952
875000,2.0,2.0,1393
849900,2.0,2.0,1700
1429000,3.0,2.0,1212
765000,3.0,3.0,1739
2750000,3.0,3.0,2286
824999,3.0,2.0,1228
1649000,10.0,6.0,4800
610000,2.0,2.0,1172
1199900,4.0,3.0,2446
1395000,2.0,2.0,1359
1498000,6.0,4.5,2370
899999,3.0,3.0,1929
1374900,4.0,3.0,1708
1699000,2.0,2.0,2008
2699000,14.0,16.0,5390
795000,3.0,2.0,1260
1699000,5.0,4.0,2593
1449000,5.0,3.0,2485
719900,4.0,2.0,1200
1295000,3.0,3.5,1920
1695000,3.0,3.5,2105
1189000,3.0,2.5,1453
4999999,7.0,7.5,4005
1395000,4.0,3.0,1898
850000,3.0,3.0,1507
2375000,8.0,4.5,3150
549000,2.0,2.0,1149
689900,3.0,3.0,1164
1380000,6.0,3.0,2180
1675000,3.0,3.0,1229
1349000,4.0,2.0,1742
1349900,3.0,2.0,1996
849900,4.0,2.0,1587
1329000,2.0,2.5,1805
1950000,2.0,2.5,2324
965000,3.0,2.5,1740
899000,3.0,2.0,1786
799000,5.0,3.0,1460
1190000,2.0,2.5,1669
999500,6.0,4.0,2516
899000,3.0,2.0,1530
999500,9.0,4.0,3116
639000,2.0,4.0,1000
719000,5.0,3.0,1768
850000,4.0,2.0,1678
988000,6.0,3.0,1540
429000,2.0,2.0,1079
23350000,4.0,6.0,8215
2750000,2.0,2.0,1830
2599000,4.0,4.5,3115
1549000,3.0,2.0,1378
982888,6.0,3.0,2343
499000,2.0,2.0,883
399950,2.0,2.0,916
899000,4.0,3.0,2088
749000,2.0,2.0,1004
5495000,5.0,5.5,5520
1970000,4.0,4.0,2490
1130000,3.0,3.0,1800
1199000,6.0,4.0,2438
2575000,5.0,5.5,3462
500000,3.0,2.5,1446
5995000,5.0,5.5,4084
2995000,3.0,3.0,3069
1295000,4.0,3.0,2333
898888,3.0,2.0,1876
1099000,3.0,2.0,1368
2095000,6.0,4.0,3960
1729000,3.0,3.0,1714
1499000,5.0,2.0,1961
1575000,7.0,7.0,2661
899000,3.0,2.0,1435
650000,5.0,2.0,1254
1499000,12.0,8.0,6944
729000,4.0,2.0,1896
2350000,20.0,11.0,6153
875000,4.0,2.0,1430
3700000,5.0,5.5,4998
990000,3.0,2.0,1278
3880000,5.0,5.5,4700
1725000,3.0,2.0,1371
395000,2.0,2.0,748
720000,3.0,3.0,2240
1150000,2.0,2.5,1378
1799000,3.0,2.0,1455
895000,3.0,4.0,1930
1795000,8.0,4.0,3990
1595000,8.0,6.0,3170
1595000,11.0,6.0,3823
3080000,5.0,5.5,5076
2495000,5.0,3.0,3344
1265000,2.0,3.0,1585
4349000,6.0,7.0,5712
879000,4.0,2.0,1354
719500,4.0,3.0,1789
1059999,4.0,3.0,1392
850000,3.0,2.5,1496
850000,2.0,1.5,1029
1099000,2.0,2.0,1197
3995000,5.0,5.5,3900
1798000,3.0,3.0,3029
1400000,2.0,2.0,1402
2695000,3.0,4.5,4020
719000,3.0,2.0,1120
1799995,6.0,5.0,3750
899000,3.0,2.0,1422
749999,4.0,3.0,1574
139990,2.0,2.0,960
1299000,2.0,2.0,1180
1129000,4.0,2.0,1906
875000,4.0,2.0,1600
849000,2.0,2.0,1220
850000,4.0,2.0,1648
1060000,7.0,4.0,2300
705999,3.0,2.0,1448
949000,5.0,3.0,5001
989990,3.0,2.0,1430
1300000,9.0,6.0,3770
1399000,4.0,3.0,1574
1325000,3.0,2.0,1443
1349000,3.0,3.0,2128
949888,4.0,2.0,1626
725000,4.0,2.5,1575
925000,2.0,2.0,1147
1150000,4.0,2.0,1900
499999,2.0,2.0,1023
2695000,4.0,3.5,2878
649900,4.0,2.0,1400
1799000,3.0,2.0,1929
1190000,4.0,3.0,2365
569000,2.0,2.0,780
900000,2.0,3.0,1872
829000,3.0,2.0,1703
2199000,4.0,3.0,2279
850000,2.0,2.0,960
519000,2.0,2.0,804
1549000,3.0,3.0,2082
599900,3.0,2.0,1373
4175000,5.0,5.0,4711
999999,6.0,4.0,3836
1100000,6.0,6.0,2394
5500000,6.0,6.0,5800
1100000,7.0,4.0,2760
5850000,4.0,4.0,3417
9995000,4.0,4.5,2907
18000000,3.0,3.5,3420
9900000,5.0,5.5,3463
3250000,4.0,3.5,2238
1485000,2.0,2.0,1645
500000,3.0,3.0,2000
775000,7.0,2.0,2808
2500000,2.0,2.5,2200
22500000,5.0,5.0,4480
2150000,4.0,3.5,2028
2150000,4.0,3.0,2500
1499999,3.0,3.5,3300
634900,3.0,1.5,2200
2225000,2.0,2.0,1420
725000,2.0,2.0,681
710000,2.0,2.0,681
762509,2.0,2.0,710
771770,2.0,2.0,710
1250000,5.0,2.5,2108
3375000,2.0,2.5,1760
1450000,2.0,2.0,1183
849900,2.0,2.0,991
1325000,4.0,3.0,2200
539000,2.0,2.0,1211
599888,2.0,2.5,1914
605555,3.0,2.0,1690
499000,2.0,2.0,1185
639000,2.0,2.0,922
1695000,2.0,2.5,1117
748888,2.0,1.5,1260
779000,5.0,3.0,2000
1195000,5.0,3.0,2040
2500000,2.0,2.0,1250
719000,3.0,2.0,1195
649000,3.0,1.5,1325
659000,2.0,2.0,840
649000,2.0,1.5,1080
599000,5.0,2.0,2600
7495000,2.0,2.5,1800
1090000,12.0,6.0,4875
1490000,7.0,3.0,2280
848000,2.0,2.0,741
1599000,8.0,4.0,6160
849762,2.0,2.0,741
788000,4.0,2.0,1566
688000,6.0,4.0,2200
17500000,7.0,4.5,6300
838000,2.0,2.0,741
2795000,2.0,2.0,1463
3470000,3.0,3.0,1487
2370000,2.0,2.0,1156
1123500,2.0,2.0,1070
798000,2.0,2.0,718
2175000,7.0,8.0,3198
849800,2.0,1.5,1517
1195000,2.0,2.0,1400
7100000,3.0,2.5,2266
1399000,6.0,5.0,2500
650000,5.0,2.0,1951
1400000,5.0,3.5,2250
3095000,3.0,3.5,1601
1350000,3.0,2.5,573
2995000,3.0,2.5,1629
999000,3.0,1.5,1499
919000,5.0,3.0,2160
499000,2.0,2.0,1050
1100000,8.0,4.0,2472
668000,3.0,3.5,1560
988000,4.0,2.0,1440
1399000,10.0,4.0,3840
599900,6.0,4.0,2052
880000,3.0,1.5,1430
799000,6.0,4.0,2310
850000,3.0,2.5,1696
725000,3.0,1.5,1476
1599000,11.0,6.0,4800
750000,4.0,2.0,2340
815156,4.0,3.5,2945
815152,4.0,3.5,2945
1995000,5.0,3.0,1800
615000,3.0,1.5,1165
685000,3.0,2.0,1280
825000,2.0,2.0,760
1800000,5.0,2.5,3210
688888,4.0,2.0,2846
888000,3.0,2.0,1600
1850000,2.0,2.0,1153
1100000,3.0,2.0,570
1188000,4.0,2.0,1580
720000,3.0,1.5,1416
980000,3.0,2.5,2189
869000,6.0,3.0,1526
3700000,2.0,2.0,1081
895000,2.0,1.5,1019
4495000,2.0,3.0,1650
427000,2.0,2.0,1300
1199999,6.0,5.5,2550
1035000,2.0,2.0,925
1690000,2.0,2.0,1001
2560000,13.0,4.0,840
1588000,5.0,3.0,1920
4995000,2.0,2.5,2000
718888,3.0,2.5,1320
2999000,5.0,2.5,3200
1200000,3.0,2.0,2560
1099000,5.0,2.5,1760
475000,2.0,2.0,1200
1275000,4.0,3.5,1820
7700000,6.0,5.0,6479
688000,3.0,2.5,1350
5100000,3.0,3.5,2171
4900000,3.0,3.5,2171
3470000,2.0,2.0,1522
5400000,3.0,3.5,2179
1999000,3.0,3.0,1482
523999,2.0,2.5,1480
3350000,2.0,2.0,1522
12500000,5.0,4.5,3815
848000,3.0,3.0,1080
950000,4.0,2.0,2250
1399000,6.0,4.0,3250
995000,2.0,2.0,1400
699000,2.0,1.5,1423
1190000,8.0,6.0,2888
1175000,7.0,3.0,1840
900000,2.0,2.0,1305
995000,2.0,2.0,1030
1250000,2.0,2.0,1057
4000000,3.0,2.5,2420
1068000,4.0,2.0,1944
5250000,4.0,3.5,3554
1125000,2.0,2.0,923
639999,3.0,2.0,1180
600000,3.0,1.5,1000
1150000,2.0,2.0,1105
1750000,4.0,2.0,900
990000,5.0,2.5,800
1399000,4.0,3.0,2283
988800,4.0,1.5,1312
1325000,2.0,2.0,1088
899975,6.0,3.0,1952
899000,3.0,2.0,2500
965000,3.0,3.5,2160
939000,4.0,3.5,2284
