Price (USD),Address,City,Date,Beds,Baths,Area (SQFT)
875000,"6905 Yolanda Ave, Reseda, CA 91335",Los-Angeles,15/12/2023,2,2,1343
750000,"4821 Bakman Ave #304, North Hollywood, CA 91601",Los-Angeles,15/12/2023,3,2.5,1454
1699000,"3126 Verdugo Pl, Los Angeles, CA 90065",Los-Angeles,15/12/2023,4,2,2085
460000,"15050 Victory Blvd #103, Van Nuys, CA 91411",Los-Angeles,15/12/2023,2,2,1193
857000,"2043 W 65th Pl, Los Angeles, CA 90047",Los-Angeles,15/12/2023,3,2,1635
880000,"8050 Cherrystone Ave, Panorama City, CA 91402",Los-Angeles,15/12/2023,4,2,1885
1850000,"13600 Marina Pointe Dr #705, Marina Del Rey, CA 90292",Los-Angeles,15/12/2023,2,2.5,1900
719950,"13033 Kamloops St, Pacoima, CA 91331",Los-Angeles,15/12/2023,3,2,1112
1330000,"11815 W Holly Way, Valley Village, CA 91607",Los-Angeles,15/12/2023,3,3.5,2211
674900,"10408 Hickory St, Los Angeles, CA 90002",Los-Angeles,15/12/2023,4,2,1400
1330000,"11809 W Holly Way, Valley Village, CA 91607",Los-Angeles,15/12/2023,3,3.5,2211
2300000,"5345 Norwich Ave, Sherman Oaks, CA 91411",Los-Angeles,15/12/2023,4,3.5,3000
850000,"12871 Osborne St, Pacoima, CA 91331",Los-Angeles,15/12/2023,4,2,1500
1085000,"14770 SAN FERNANDO MISSION Blvd, Mission Hills (san Fernando), CA 91345",Los-Angeles,15/12/2023,3,2,1030
1355000,"11821 W Holly Way, Valley Village, CA 91607",Los-Angeles,15/12/2023,3,3.5,2243
1358000,"11803 W Holly Way, Valley Village, CA 91607",Los-Angeles,15/12/2023,3,3.5,2243
999999,"3815 W 60th St, Los Angeles, CA 90043",Los-Angeles,15/12/2023,4,2,1982
2199000,"8009 Belton Dr, Los Angeles, CA 90045",Los-Angeles,15/12/2023,4,4,2159
1850000,"12420 Caswell Ave, Los Angeles, CA 90066",Los-Angeles,15/12/2023,4,2.5,2303
150000,"8250 Lankershim Blvd, North Hollywood, CA 91605",Los-Angeles,15/12/2023,2,2,750
655000,"145 W 115th St, Los Angeles, CA 90061",Los-Angeles,15/12/2023,6,3,1762
775000,"1632 W 60th Pl, Los Angeles, CA 90047",Los-Angeles,15/12/2023,3,2,1324
849000,"903 S New Hampshire Ave #504, Los Angeles, CA 90006",Los-Angeles,15/12/2023,3,2,1320
649000,"10141 Samoa Ave #2, Tujunga, CA 91042",Los-Angeles,15/12/2023,2,3,1409
3000000,"198 S Commonwealth Ave, Los Angeles, CA 90004",Los-Angeles,15/12/2023,12,8,8486
1999000,"2405 Meadowvale Ave, Los Angeles, CA 90031",Los-Angeles,15/12/2023,8,4,3134
650000,"817 W 101st St, Los Angeles, CA 90044",Los-Angeles,15/12/2023,4,2,1786
900000,"9424 S Central Ave, Los Angeles, CA 90002",Los-Angeles,15/12/2023,9,3,2288
